day,student_id,purchased_items,total_spent
1,519,"Teriyaki Chicken Bowl,Bottled Water",10.5
1,343,"Chocolate Brownie,Red Bull style energy drink",7.0
1,932,"Fresh Fruit Cup,Fresh Lemonade",7.0
1,662,"Chocolate Brownie,Red Bull style energy drink",7.0
1,180,"Fresh Fruit Cup,Bottled Water",5.5
1,210,"Fresh Fruit Cup,Fresh Lemonade",7.0
1,230,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,281,"Loaded Nachos,Red Bull style energy drink",11.0
1,231,"Loaded Nachos,Red Bull style energy drink",11.0
1,193,"Chocolate Brownie,Red Bull style energy drink",7.0
1,311,"Teriyaki Chicken Bowl,Red Bull style energy drink",12.5
1,787,"Fresh Fruit Cup,Fresh Lemonade",7.0
1,28,"Loaded Nachos,Red Bull style energy drink",11.0
1,715,"Chocolate Brownie,Red Bull style energy drink",7.0
1,331,"Chocolate Brownie,Red Bull style energy drink",7.0
1,795,"Loaded Nachos,Red Bull style energy drink",11.0
1,879,"Fresh Fruit Cup,Iced Coffee",8.0
1,189,"Chocolate Brownie,Fresh Lemonade",6.5
1,858,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,793,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,568,"Loaded Nachos,Red Bull style energy drink",11.0
1,813,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,672,"Chocolate Brownie,Red Bull style energy drink",7.0
1,887,"Chocolate Brownie,Red Bull style energy drink",7.0
1,611,"Chocolate Brownie,Red Bull style energy drink",7.0
1,884,"Grilled Chicken Wrap,Red Bull style energy drink",12.0
1,964,"Chocolate Brownie,Red Bull style energy drink",7.0
1,109,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,507,Chocolate Brownie,3.5
1,640,"Chocolate Brownie,Red Bull style energy drink",7.0
1,492,"Loaded Nachos,Iced Coffee",11.5
1,286,"Loaded Nachos,Red Bull style energy drink",11.0
1,138,"Grilled Chicken Wrap,Iced Coffee",12.5
1,663,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,245,"Chocolate Brownie,Red Bull style energy drink",7.0
1,836,"Chocolate Brownie,Fresh Lemonade",6.5
1,494,"Fresh Fruit Cup,Iced Coffee",8.0
1,844,"Loaded Nachos,Red Bull style energy drink",11.0
1,632,"Chocolate Brownie,Red Bull style energy drink",7.0
1,797,"Chocolate Brownie,Red Bull style energy drink",7.0
1,325,Fresh Fruit Cup,4.0
1,520,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,730,"Chocolate Brownie,Red Bull style energy drink",7.0
1,137,"Loaded Nachos,Red Bull style energy drink",11.0
1,916,"Fresh Fruit Cup,Bottled Water",5.5
1,661,"Chocolate Brownie,Red Bull style energy drink",7.0
1,726,Fresh Fruit Cup,4.0
1,340,Fresh Fruit Cup,4.0
1,725,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,883,"Fresh Fruit Cup,Iced Coffee",8.0
1,840,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,953,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,861,Fresh Fruit Cup,4.0
1,11,"Chocolate Brownie,Red Bull style energy drink",7.0
1,540,"Chocolate Brownie,Red Bull style energy drink",7.0
1,571,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,877,"Loaded Nachos,Red Bull style energy drink",11.0
1,122,Fresh Fruit Cup,4.0
1,888,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,890,"Chocolate Brownie,Red Bull style energy drink",7.0
1,627,"Loaded Nachos,Red Bull style energy drink",11.0
1,378,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,589,"Loaded Nachos,Red Bull style energy drink",11.0
1,71,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,816,"Teriyaki Chicken Bowl,Red Bull style energy drink",12.5
1,655,"Fresh Fruit Cup,Fresh Lemonade",7.0
1,824,"Loaded Nachos,Red Bull style energy drink",11.0
1,626,"Chocolate Brownie,Red Bull style energy drink",7.0
1,322,"Loaded Nachos,Red Bull style energy drink",11.0
1,36,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,689,"Chocolate Brownie,Fresh Lemonade",6.5
1,557,"Chocolate Brownie,Red Bull style energy drink",7.0
1,335,"Chocolate Brownie,Red Bull style energy drink",7.0
1,135,"Fresh Fruit Cup,Red Bull style energy drink",7.5
1,453,"Veggie Burrito Bowl,Red Bull style energy drink",11.5
1,77,"Chocolate Brownie,Red Bull style energy drink",7.0
1,724,"Chocolate Brownie,Fresh Lemonade",6.5
1,790,"Chocolate Brownie,Red Bull style energy drink",7.0
1,323,"Grilled Chicken Wrap,Red Bull style energy drink",12.0
1,804,"Teriyaki Chicken Bowl,Red Bull style energy drink",12.5
1,487,"Chocolate Brownie,Fresh Lemonade",6.5
1,564,"Chocolate Brownie,Fresh Lemonade",6.5
1,162,"Chocolate Brownie,Red Bull style energy drink",7.0
1,705,"Chocolate Brownie,Red Bull style energy drink",7.0
1,910,"Chocolate Brownie,Fresh Lemonade",6.5
1,224,"Chocolate Brownie,Fresh Lemonade",6.5
1,652,"Veggie Burrito Bowl,Red Bull style energy drink",11.5
1,154,"Chocolate Brownie,Red Bull style energy drink",7.0
1,630,"Chocolate Brownie,Red Bull style energy drink",7.0
1,699,"Loaded Nachos,Red Bull style energy drink",11.0
1,562,"Teriyaki Chicken Bowl,Red Bull style energy drink",12.5
1,246,"Veggie Burrito Bowl,Red Bull style energy drink",11.5
1,86,"Grilled Chicken Wrap,Red Bull style energy drink",12.0
1,706,"Chocolate Brownie,Red Bull style energy drink",7.0
1,757,"Loaded Nachos,Red Bull style energy drink",11.0
1,446,"Loaded Nachos,Red Bull style energy drink",11.0
1,37,"Chocolate Brownie,Iced Coffee",7.5
1,929,"Chocolate Brownie,Fresh Lemonade",6.5
1,915,"Chocolate Brownie,Red Bull style energy drink",7.0
1,541,"Chocolate Brownie,Red Bull style energy drink",7.0
