day,student_id,purchased_items,total_spent
1,720,"Cinnamon Sticks,Italian Sparkling Water",5.5
1,761,"Cheese Breadsticks,Italian Sparkling Water",6.0
1,745,"Cinnamon Sticks,Fountain Soda",5.0
1,415,Cinnamon Sticks,3.0
1,209,"Cinnamon Sticks,Fountain Soda",5.0
1,748,Cinnamon Sticks,3.0
1,803,"Cinnamon Sticks,Fresh Squeezed OJ",6.5
1,750,"Cinnamon Sticks,Fountain Soda",5.0
1,856,"Cinnamon Sticks,Fountain Soda",5.0
1,274,"Cinnamon Sticks,Fountain Soda",5.0
1,276,"Cinnamon Sticks,Fountain Soda",5.0
1,69,"Cinnamon Sticks,Fountain Soda",5.0
1,377,"Cinnamon Sticks,Fountain Soda",5.0
1,503,"Caesar Salad,Italian Sparkling Water",8.5
1,769,"Cinnamon Sticks,Fountain Soda",5.0
1,326,"Cinnamon Sticks,Fresh Squeezed OJ",6.5
1,755,"Cinnamon Sticks,Fountain Soda",5.0
1,845,Cinnamon Sticks,3.0
1,501,"Cinnamon Sticks,Fountain Soda",5.0
1,766,"Cinnamon Sticks,Fountain Soda",5.0
1,400,"Cheese Breadsticks,Fountain Soda",5.5
1,240,"Cinnamon Sticks,Fountain Soda",5.0
1,485,Cheese Breadsticks,3.5
1,832,"Caesar Salad,Italian Sparkling Water",8.5
1,695,"Cheese Breadsticks,Fresh Squeezed OJ",7.0
1,609,"Cinnamon Sticks,Fresh Squeezed OJ",6.5
1,645,"Cinnamon Sticks,Fountain Soda",5.0
1,617,"Cinnamon Sticks,Fountain Soda",5.0
1,893,"Cinnamon Sticks,Fountain Soda",5.0
1,593,"Cinnamon Sticks,Fountain Soda",5.0
1,359,"Cinnamon Sticks,Fountain Soda",5.0
1,660,Pepperoni Pizza Slice,4.5
1,776,"Cinnamon Sticks,Fountain Soda",5.0
1,920,Cinnamon Sticks,3.0
1,605,"Caesar Salad,Fountain Soda",8.0
1,129,"Cinnamon Sticks,Fountain Soda",5.0
1,772,"Cinnamon Sticks,Italian Sparkling Water",5.5
1,1000,"Cheese Breadsticks,Fountain Soda",5.5
1,238,Cinnamon Sticks,3.0
1,513,"Cheese Breadsticks,Fresh Squeezed OJ",7.0
1,149,"Cinnamon Sticks,Fountain Soda",5.0
1,204,"Cinnamon Sticks,Fountain Soda",5.0
1,732,"Cinnamon Sticks,Fresh Squeezed OJ",6.5
1,165,Cinnamon Sticks,3.0
1,19,"Cinnamon Sticks,Fountain Soda",5.0
1,8,"Cinnamon Sticks,Fountain Soda",5.0
1,142,Cinnamon Sticks,3.0
1,691,"Cinnamon Sticks,Fountain Soda",5.0
1,586,"Caesar Salad,Italian Sparkling Water",8.5
1,598,"Cinnamon Sticks,Fountain Soda",5.0
1,251,"Cinnamon Sticks,Fountain Soda",5.0
1,889,Cheese Breadsticks,3.5
1,528,Caesar Salad,6.0
1,50,"Cheese Breadsticks,Fresh Squeezed OJ",7.0
1,596,"Caesar Salad,Italian Sparkling Water",8.5
